"","carrier","flight","tailnum","origin","dest","distance","departure","scheduled_departure","arrival","scheduled_arrival"
"15","UA",1165,"N74856","EWR","LAX",2454,"22.04.2013 18:56:00 Uhr","22.04.2013 17:42:00 Uhr","22.04.2013 22:01:00 Uhr","22.04.2013 20:55:00 Uhr"
"16","EV",3817,"N15973","EWR","JAX",820,"16.01.2013 15:40:00 Uhr","16.01.2013 15:09:00 Uhr","16.01.2013 18:15:00 Uhr","16.01.2013 17:41:00 Uhr"
"17","B6",361,"N509JB","LGA","PBI",1035,"26.03.2013 07:26:00 Uhr","26.03.2013 07:29:00 Uhr","26.03.2013 10:13:00 Uhr","26.03.2013 10:26:00 Uhr"
"18","B6",615,"N298JB","JFK","JAX",828,"18.06.2013 14:29:00 Uhr","18.06.2013 14:35:00 Uhr","18.06.2013 17:09:00 Uhr","18.06.2013 17:10:00 Uhr"
"19","AA",59,"N393AA","JFK","SFO",2586,"26.12.2013 08:00:00 Uhr","26.12.2013 08:00:00 Uhr","26.12.2013 10:54:00 Uhr","26.12.2013 11:35:00 Uhr"
"20","EV",4241,"N14907","EWR","DCA",199,"29.05.2013 06:43:00 Uhr","29.05.2013 06:47:00 Uhr","29.05.2013 07:57:00 Uhr","29.05.2013 07:59:00 Uhr"
"21","DL",2343,"N345NB","EWR","ATL",746,"28.06.2013 10:23:00 Uhr","28.06.2013 10:30:00 Uhr","28.06.2013 12:24:00 Uhr","28.06.2013 12:39:00 Uhr"
"22","AA",1039,"N3FWAA","JFK","FLL",1069,"07.03.2013 15:33:00 Uhr","07.03.2013 15:30:00 Uhr","07.03.2013 18:36:00 Uhr","07.03.2013 18:55:00 Uhr"
"23","US",2162,"N944UW","LGA","BOS",184,"19.09.2013 19:54:00 Uhr","19.09.2013 20:00:00 Uhr","19.09.2013 21:03:00 Uhr","19.09.2013 21:14:00 Uhr"
"24","AS",15,"N403AS","EWR","SEA",2402,"22.12.2013 07:12:00 Uhr","22.12.2013 07:05:00 Uhr","22.12.2013 09:56:00 Uhr","22.12.2013 10:15:00 Uhr"
"25","YV",2807,"N935LR","LGA","CLT",544,"01.07.2013 14:14:00 Uhr","01.07.2013 11:36:00 Uhr","01.07.2013 16:19:00 Uhr","01.07.2013 13:38:00 Uhr"
"26","DL",1174,"N332NB","LGA","PBI",1035,"21.11.2013 10:21:00 Uhr","21.11.2013 10:15:00 Uhr","21.11.2013 13:44:00 Uhr","21.11.2013 13:30:00 Uhr"
"27","9E",3459,"N935XJ","JFK","BNA",765,"02.02.2013 15:57:00 Uhr","02.02.2013 16:05:00 Uhr","02.02.2013 17:22:00 Uhr","02.02.2013 17:52:00 Uhr"
"28","AA",1757,"N3DDAA","JFK","TPA",1005,"08.08.2013 07:26:00 Uhr","08.08.2013 07:30:00 Uhr","08.08.2013 10:07:00 Uhr","08.08.2013 10:25:00 Uhr"
"29","WN",733,"N789SW","LGA","DEN",1620,"01.01.2013 07:54:00 Uhr","01.01.2013 07:55:00 Uhr","01.01.2013 11:03:00 Uhr","01.01.2013 10:30:00 Uhr"
"30","UA",997,"N494UA","EWR","AUS",1504,"15.05.2013 14:58:00 Uhr","15.05.2013 15:10:00 Uhr","15.05.2013 18:01:00 Uhr","15.05.2013 18:15:00 Uhr"
"31","DL",424,"N704X","JFK","SJU",1598,"27.12.2013 23:51:00 Uhr","27.12.2013 23:55:00 Uhr","27.12.2013 04:21:00 Uhr","27.12.2013 04:45:00 Uhr"
"32","B6",675,"N206JB","JFK","MSY",1182,"21.08.2013 06:40:00 Uhr","21.08.2013 06:45:00 Uhr","21.08.2013 08:33:00 Uhr","21.08.2013 08:45:00 Uhr"
"33","EV",4571,"N12569","EWR","SAV",708,"10.05.2013 16:22:00 Uhr","10.05.2013 16:25:00 Uhr","10.05.2013 18:37:00 Uhr","10.05.2013 18:34:00 Uhr"
"34","B6",739,"N653JB","JFK","PSE",1617,"16.03.2013 23:56:00 Uhr","16.03.2013 23:55:00 Uhr","16.03.2013 03:38:00 Uhr","16.03.2013 03:40:00 Uhr"
"35","DL",4,"N3764D","JFK","SJU",1598,"13.07.2013 15:45:00 Uhr","13.07.2013 15:45:00 Uhr","13.07.2013 19:35:00 Uhr","13.07.2013 20:01:00 Uhr"
"36","B6",1171,"N503JB","LGA","FLL",1076,"16.09.2013 14:43:00 Uhr","16.09.2013 14:45:00 Uhr","16.09.2013 17:34:00 Uhr","16.09.2013 17:50:00 Uhr"
"37","B6",1161,"N624JB","LGA","PBI",1035,"17.08.2013 16:52:00 Uhr","17.08.2013 16:29:00 Uhr","17.08.2013 19:41:00 Uhr","17.08.2013 19:27:00 Uhr"
"38","UA",1165,"N24211","EWR","LAX",2454,"26.11.2013 18:15:00 Uhr","26.11.2013 18:04:00 Uhr","26.11.2013 21:23:00 Uhr","26.11.2013 21:30:00 Uhr"
"39","B6",523,"N521JB","EWR","MCO",937,"30.01.2013 11:29:00 Uhr","30.01.2013 11:29:00 Uhr","30.01.2013 14:28:00 Uhr","30.01.2013 14:19:00 Uhr"
"40","DL",1231,"N363NB","LGA","DTW",502,"18.09.2013 14:36:00 Uhr","18.09.2013 14:40:00 Uhr","18.09.2013 16:17:00 Uhr","18.09.2013 16:40:00 Uhr"
"41","B6",583,"N638JB","JFK","MCO",944,"02.07.2013 06:00:00 Uhr","02.07.2013 06:05:00 Uhr","02.07.2013 08:31:00 Uhr","02.07.2013 08:39:00 Uhr"
"42","EV",4281,"N11194","EWR","BTV",266,"05.06.2013 13:39:00 Uhr","05.06.2013 13:29:00 Uhr","05.06.2013 14:42:00 Uhr","05.06.2013 14:45:00 Uhr"
"43","MQ",3604,"N500MQ","EWR","ORD",719,"19.12.2013 21:48:00 Uhr","19.12.2013 20:30:00 Uhr","19.12.2013 23:23:00 Uhr","19.12.2013 21:50:00 Uhr"
"44","9E",3638,"N8933B","JFK","PHL",94,"20.03.2013 13:35:00 Uhr","20.03.2013 13:45:00 Uhr","20.03.2013 14:35:00 Uhr","20.03.2013 14:53:00 Uhr"
"45","UA",1218,"N14731","EWR","DFW",1372,"09.09.2013 08:12:00 Uhr","09.09.2013 08:10:00 Uhr","09.09.2013 10:43:00 Uhr","09.09.2013 11:00:00 Uhr"
"46","B6",85,"N652JB","JFK","FLL",1069,"24.03.2013 13:02:00 Uhr","24.03.2013 12:50:00 Uhr","24.03.2013 16:52:00 Uhr","24.03.2013 15:50:00 Uhr"
"47","DL",2044,"N941DL","LGA","MIA",1096,"01.06.2013 11:24:00 Uhr","01.06.2013 11:31:00 Uhr","01.06.2013 14:10:00 Uhr","01.06.2013 14:44:00 Uhr"
"48","US",894,"N198UW","LGA","CLT",544,"08.11.2013 17:07:00 Uhr","08.11.2013 17:04:00 Uhr","08.11.2013 19:14:00 Uhr","08.11.2013 19:08:00 Uhr"
"49","AA",185,"N338AA","JFK","LAX",2475,"22.10.2013 21:34:00 Uhr","22.10.2013 21:40:00 Uhr","22.10.2013 0:48:00 Uhr","22.10.2013 0:40:00 Uhr"
"50","AA",181,"N328AA","JFK","LAX",2475,"23.08.2013 17:08:00 Uhr","23.08.2013 17:10:00 Uhr","23.08.2013 19:59:00 Uhr","23.08.2013 20:15:00 Uhr"
"51","MQ",4576,"N6EAMQ","LGA","CLT",544,"30.04.2013 06:25:00 Uhr","30.04.2013 06:30:00 Uhr","30.04.2013 08:27:00 Uhr","30.04.2013 08:30:00 Uhr"
"52","MQ",2810,"N510MQ","LGA","DTW",502,"23.12.2013 06:27:00 Uhr","23.12.2013 06:30:00 Uhr","23.12.2013 08:27:00 Uhr","23.12.2013 08:30:00 Uhr"
"53","B6",671,"N652JB","JFK","LAX",2475,"07.01.2013 07:04:00 Uhr","07.01.2013 07:00:00 Uhr","07.01.2013 09:44:00 Uhr","07.01.2013 10:27:00 Uhr"
"54","EV",4596,"N11536","EWR","STL",872,"29.10.2013 14:44:00 Uhr","29.10.2013 14:45:00 Uhr","29.10.2013 16:51:00 Uhr","29.10.2013 16:28:00 Uhr"
"55","EV",5068,"N730EV","EWR","DTW",488,"06.03.2013 05:55:00 Uhr","06.03.2013 06:00:00 Uhr","06.03.2013 07:36:00 Uhr","06.03.2013 07:56:00 Uhr"
"56","UA",689,"N497UA","LGA","ORD",733,"04.12.2013 16:54:00 Uhr","04.12.2013 17:00:00 Uhr","04.12.2013 18:44:00 Uhr","04.12.2013 18:42:00 Uhr"
"57","EV",4520,"N12195","EWR","PWM",284,"30.01.2013 19:22:00 Uhr","30.01.2013 18:19:00 Uhr","30.01.2013 20:35:00 Uhr","30.01.2013 19:32:00 Uhr"
"58","MQ",3588,"N502MQ","LGA","MSP",1020,"26.10.2013 14:24:00 Uhr","26.10.2013 14:15:00 Uhr","26.10.2013 16:11:00 Uhr","26.10.2013 16:05:00 Uhr"
"59","UA",759,"N470UA","EWR","TPA",997,"03.01.2013 07:40:00 Uhr","03.01.2013 07:40:00 Uhr","03.01.2013 10:34:00 Uhr","03.01.2013 10:44:00 Uhr"
"60","AA",320,"N4YLAA","EWR","DFW",1372,"10.10.2013 16:00:00 Uhr","10.10.2013 15:15:00 Uhr","10.10.2013 18:55:00 Uhr","10.10.2013 18:10:00 Uhr"
"61","UA",1299,"N77296","EWR","RSW",1068,"11.01.2013 07:15:00 Uhr","11.01.2013 07:15:00 Uhr","11.01.2013 10:04:00 Uhr","11.01.2013 10:27:00 Uhr"
"62","B6",1103,"N645JB","JFK","SJU",1598,"28.06.2013 23:47:00 Uhr","28.06.2013 21:01:00 Uhr","28.06.2013 03:35:00 Uhr","28.06.2013 01:00:00 Uhr"
"63","MQ",3478,"N821MQ","LGA","DTW",502,"02.12.2013 09:04:00 Uhr","02.12.2013 08:55:00 Uhr","02.12.2013 11:08:00 Uhr","02.12.2013 11:00:00 Uhr"
"64","AA",1599,"N3HBAA","LGA","MIA",1096,"30.09.2013 11:05:00 Uhr","30.09.2013 11:10:00 Uhr","30.09.2013 14:05:00 Uhr","30.09.2013 14:30:00 Uhr"
"65","US",2126,"N958UW","LGA","BOS",184,"09.01.2013 11:53:00 Uhr","09.01.2013 12:00:00 Uhr","09.01.2013 12:52:00 Uhr","09.01.2013 13:05:00 Uhr"
"66","MQ",4255,"N638MQ","JFK","BNA",765,"03.02.2013 17:19:00 Uhr","03.02.2013 17:25:00 Uhr","03.02.2013 18:49:00 Uhr","03.02.2013 18:55:00 Uhr"
"67","MQ",3676,"N530MQ","LGA","CLT",544,"03.10.2013 06:51:00 Uhr","03.10.2013 06:59:00 Uhr","03.10.2013 09:03:00 Uhr","03.10.2013 08:59:00 Uhr"
"68","UA",1250,"N66051","EWR","IAH",1400,"26.03.2013 15:03:00 Uhr","26.03.2013 15:08:00 Uhr","26.03.2013 17:45:00 Uhr","26.03.2013 17:58:00 Uhr"
"69","B6",1,"N594JB","JFK","FLL",1069,"30.11.2013 10:17:00 Uhr","30.11.2013 10:21:00 Uhr","30.11.2013 13:00:00 Uhr","30.11.2013 13:25:00 Uhr"
"70","UA",1124,"N23708","EWR","EGE",1725,"28.12.2013 10:28:00 Uhr","28.12.2013 10:00:00 Uhr","28.12.2013 12:51:00 Uhr","28.12.2013 12:52:00 Uhr"
"71","DL",1643,"N385DN","JFK","SEA",2422,"11.02.2013 19:06:00 Uhr","11.02.2013 18:35:00 Uhr","11.02.2013 21:57:00 Uhr","11.02.2013 22:12:00 Uhr"
"72","FL",721,"N987AT","LGA","CAK",397,"29.05.2013 14:34:00 Uhr","29.05.2013 14:30:00 Uhr","29.05.2013 15:54:00 Uhr","29.05.2013 16:01:00 Uhr"
"73","US",2183,"N762US","LGA","DCA",214,"13.09.2013 13:55:00 Uhr","13.09.2013 14:00:00 Uhr","13.09.2013 15:40:00 Uhr","13.09.2013 15:12:00 Uhr"
"74","B6",713,"N793JB","JFK","SJU",1598,"13.01.2013 22:42:00 Uhr","13.01.2013 22:30:00 Uhr","13.01.2013 03:17:00 Uhr","13.01.2013 03:13:00 Uhr"
"75","WN",4453,"N776WN","LGA","MKE",738,"18.09.2013 13:01:00 Uhr","18.09.2013 12:50:00 Uhr","18.09.2013 13:58:00 Uhr","18.09.2013 14:20:00 Uhr"
"76","UA",1052,"N16217","EWR","PHX",2133,"17.05.2013 12:04:00 Uhr","17.05.2013 12:12:00 Uhr","17.05.2013 14:05:00 Uhr","17.05.2013 14:39:00 Uhr"
"77","EV",4456,"N13124","EWR","BOS",200,"19.01.2013 10:52:00 Uhr","19.01.2013 10:59:00 Uhr","19.01.2013 11:58:00 Uhr","19.01.2013 12:07:00 Uhr"
"78","AA",21,"N324AA","JFK","LAX",2475,"06.03.2013 19:14:00 Uhr","06.03.2013 19:05:00 Uhr","06.03.2013 22:11:00 Uhr","06.03.2013 22:25:00 Uhr"
"79","EV",4113,"N11548","EWR","IND",645,"12.11.2013 17:45:00 Uhr","12.11.2013 17:27:00 Uhr","12.11.2013 19:44:00 Uhr","12.11.2013 19:43:00 Uhr"
"80","B6",59,"N284JB","JFK","TPA",1005,"25.04.2013 09:17:00 Uhr","25.04.2013 09:12:00 Uhr","25.04.2013 12:58:00 Uhr","25.04.2013 12:00:00 Uhr"
"81","DL",1518,"N981AT","EWR","DTW",488,"11.12.2013 16:59:00 Uhr","11.12.2013 16:47:00 Uhr","11.12.2013 19:24:00 Uhr","11.12.2013 18:49:00 Uhr"
"82","UA",798,"N818UA","EWR","ORD",719,"11.10.2013 10:53:00 Uhr","11.10.2013 11:00:00 Uhr","11.10.2013 12:17:00 Uhr","11.10.2013 12:23:00 Uhr"
"83","EV",3823,"N14993","EWR","MSN",799,"10.03.2013 13:53:00 Uhr","10.03.2013 13:59:00 Uhr","10.03.2013 15:24:00 Uhr","10.03.2013 15:27:00 Uhr"
"84","FL",348,"N910AT","LGA","ATL",762,"07.06.2013 13:36:00 Uhr","07.06.2013 13:10:00 Uhr","07.06.2013 15:58:00 Uhr","07.06.2013 15:32:00 Uhr"
"85","B6",727,"N571JB","JFK","BQN",1576,"14.05.2013 23:57:00 Uhr","14.05.2013 23:59:00 Uhr","14.05.2013 03:13:00 Uhr","14.05.2013 03:41:00 Uhr"
"86","UA",308,"N455UA","EWR","MIA",1085,"07.11.2013 09:21:00 Uhr","07.11.2013 09:25:00 Uhr","07.11.2013 12:34:00 Uhr","07.11.2013 12:41:00 Uhr"
"87","UA",397,"N510UA","JFK","SFO",2586,"15.01.2013 08:01:00 Uhr","15.01.2013 08:00:00 Uhr","15.01.2013 11:30:00 Uhr","15.01.2013 11:25:00 Uhr"
"88","UA",1244,"N75436","EWR","SJU",1608,"18.08.2013 20:10:00 Uhr","18.08.2013 20:07:00 Uhr","18.08.2013 :07:00 Uhr","18.08.2013 23:59:00 Uhr"
"89","B6",499,"N587JB","LGA","MCO",950,"24.08.2013 20:50:00 Uhr","24.08.2013 21:00:00 Uhr","24.08.2013 23:11:00 Uhr","24.08.2013 23:36:00 Uhr"
"90","MQ",4655,"N500MQ","LGA","BNA",764,"10.01.2013 08:18:00 Uhr","10.01.2013 08:20:00 Uhr","10.01.2013 09:43:00 Uhr","10.01.2013 09:55:00 Uhr"
"91","UA",399,"N833UA","EWR","ORD",719,"07.11.2013 16:00:00 Uhr","07.11.2013 15:23:00 Uhr","07.11.2013 17:59:00 Uhr","07.11.2013 16:57:00 Uhr"
"92","WN",168,"N776WN","LGA","MDW",725,"20.11.2013 21:20:00 Uhr","20.11.2013 20:35:00 Uhr","20.11.2013 22:37:00 Uhr","20.11.2013 22:10:00 Uhr"
"93","DL",498,"N327NW","JFK","SAT",1587,"05.09.2013 19:32:00 Uhr","05.09.2013 19:25:00 Uhr","05.09.2013 22:25:00 Uhr","05.09.2013 22:48:00 Uhr"
"94","AA",1895,"N3GHAA","EWR","MIA",1085,"14.05.2013 06:08:00 Uhr","14.05.2013 06:15:00 Uhr","14.05.2013 08:50:00 Uhr","14.05.2013 09:15:00 Uhr"
"95","B6",341,"N661JB","JFK","SRQ",1041,"02.06.2013 07:50:00 Uhr","02.06.2013 07:55:00 Uhr","02.06.2013 10:35:00 Uhr","02.06.2013 10:45:00 Uhr"
"96","EV",4352,"N14977","EWR","CVG",569,"07.08.2013 16:25:00 Uhr","07.08.2013 15:50:00 Uhr","07.08.2013 18:39:00 Uhr","07.08.2013 17:52:00 Uhr"
"97","B6",1129,"N779JB","JFK","RSW",1074,"23.11.2013 11:58:00 Uhr","23.11.2013 12:00:00 Uhr","23.11.2013 15:16:00 Uhr","23.11.2013 15:10:00 Uhr"
"98","DL",914,"N356NW","LGA","DEN",1620,"03.01.2013 08:15:00 Uhr","03.01.2013 08:17:00 Uhr","03.01.2013 10:48:00 Uhr","03.01.2013 10:58:00 Uhr"
"99","WN",3962,"N759GS","LGA","MDW",725,"15.04.2013 17:49:00 Uhr","15.04.2013 17:55:00 Uhr","15.04.2013 19:04:00 Uhr","15.04.2013 19:30:00 Uhr"
"100","US",2193,"N746UW","LGA","DCA",214,"08.08.2013 21:32:00 Uhr","08.08.2013 19:00:00 Uhr","08.08.2013 22:50:00 Uhr","08.08.2013 20:30:00 Uhr"
"101","EV",3824,"N16559","EWR","BNA",748,"10.05.2013 16:00:00 Uhr","10.05.2013 15:50:00 Uhr","10.05.2013 17:59:00 Uhr","10.05.2013 17:08:00 Uhr"
"102","MQ",4425,"N818MQ","JFK","DCA",213,"03.01.2013 11:53:00 Uhr","03.01.2013 12:00:00 Uhr","03.01.2013 13:17:00 Uhr","03.01.2013 13:15:00 Uhr"
"103","EV",4249,"N14953","EWR","BWI",169,"03.10.2013 08:25:00 Uhr","03.10.2013 08:37:00 Uhr","03.10.2013 09:38:00 Uhr","03.10.2013 09:39:00 Uhr"
"104","AA",341,"N4WNAA","LGA","ORD",733,"06.11.2013 15:20:00 Uhr","06.11.2013 15:20:00 Uhr","06.11.2013 17:15:00 Uhr","06.11.2013 17:05:00 Uhr"
"105","AA",825,"N3ECAA","JFK","FLL",1069,"24.01.2013 07:16:00 Uhr","24.01.2013 07:15:00 Uhr","24.01.2013 10:08:00 Uhr","24.01.2013 10:35:00 Uhr"
"106","B6",21,"N653JB","JFK","TPA",1005,"21.02.2013 19:54:00 Uhr","21.02.2013 20:00:00 Uhr","21.02.2013 22:43:00 Uhr","21.02.2013 23:00:00 Uhr"
"107","UA",257,"N595UA","JFK","SFO",2586,"27.09.2013 15:20:00 Uhr","27.09.2013 15:30:00 Uhr","27.09.2013 19:07:00 Uhr","27.09.2013 18:54:00 Uhr"
"108","AA",1143,"N3DBAA","LGA","DFW",1389,"20.09.2013 12:13:00 Uhr","20.09.2013 12:15:00 Uhr","20.09.2013 14:48:00 Uhr","20.09.2013 15:10:00 Uhr"
"109","WN",871,"N498WN","EWR","MDW",711,"23.03.2013 05:59:00 Uhr","23.03.2013 06:00:00 Uhr","23.03.2013 07:14:00 Uhr","23.03.2013 07:20:00 Uhr"
"110","US",2187,"N747UW","LGA","DCA",214,"01.08.2013 16:39:00 Uhr","01.08.2013 16:00:00 Uhr","01.08.2013 18:10:00 Uhr","01.08.2013 17:23:00 Uhr"
"111","DL",2131,"N908DE","LGA","DTW",502,"06.11.2013 19:50:00 Uhr","06.11.2013 19:55:00 Uhr","06.11.2013 21:47:00 Uhr","06.11.2013 22:07:00 Uhr"
"112","EV",4252,"N14562","EWR","MKE",725,"31.10.2013 08:38:00 Uhr","31.10.2013 08:40:00 Uhr","31.10.2013 10:35:00 Uhr","31.10.2013 10:00:00 Uhr"
"113","AA",1813,"N5FPAA","JFK","MCO",944,"23.02.2013 14:49:00 Uhr","23.02.2013 14:50:00 Uhr","23.02.2013 17:59:00 Uhr","23.02.2013 17:55:00 Uhr"
"114","DL",2596,"N6703D","JFK","LAS",2248,"10.12.2013 08:12:00 Uhr","10.12.2013 08:15:00 Uhr","10.12.2013 11:35:00 Uhr","10.12.2013 11:14:00 Uhr"
"115","B6",525,"N662JB","JFK","TPA",1005,"16.12.2013 06:35:00 Uhr","16.12.2013 06:35:00 Uhr","16.12.2013 09:35:00 Uhr","16.12.2013 09:29:00 Uhr"
"116","US",1831,"N178US","JFK","CLT",541,"04.12.2013 08:24:00 Uhr","04.12.2013 08:25:00 Uhr","04.12.2013 10:21:00 Uhr","04.12.2013 10:29:00 Uhr"
"117","UA",1244,"N53442","EWR","TPA",997,"24.05.2013 20:42:00 Uhr","24.05.2013 20:28:00 Uhr","24.05.2013 23:21:00 Uhr","24.05.2013 23:36:00 Uhr"
"118","MQ",3365,"N856MQ","JFK","DCA",213,"19.07.2013 17:17:00 Uhr","19.07.2013 17:20:00 Uhr","19.07.2013 19:08:00 Uhr","19.07.2013 18:50:00 Uhr"
"119","9E",4051,"N8877A","JFK","BWI",184,"28.01.2013 08:56:00 Uhr","28.01.2013 08:20:00 Uhr","28.01.2013 10:04:00 Uhr","28.01.2013 09:39:00 Uhr"
"120","AA",1381,"N504AA","EWR","DFW",1372,"24.09.2013 07:20:00 Uhr","24.09.2013 07:25:00 Uhr","24.09.2013 09:56:00 Uhr","24.09.2013 10:15:00 Uhr"
"121","B6",115,"N198JB","JFK","MSY",1182,"16.02.2013 20:55:00 Uhr","16.02.2013 20:59:00 Uhr","16.02.2013 22:55:00 Uhr","16.02.2013 23:20:00 Uhr"
"122","AA",300,"N566AA","EWR","DFW",1372,"12.10.2013 12:28:00 Uhr","12.10.2013 12:25:00 Uhr","12.10.2013 14:52:00 Uhr","12.10.2013 15:10:00 Uhr"
"123","EV",5592,"N712EV","LGA","MEM",963,"16.05.2013 05:53:00 Uhr","16.05.2013 06:00:00 Uhr","16.05.2013 07:25:00 Uhr","16.05.2013 07:55:00 Uhr"
"124","DL",2595,"N3758Y","JFK","PDX",2454,"15.12.2013 18:39:00 Uhr","15.12.2013 16:25:00 Uhr","15.12.2013 22:12:00 Uhr","15.12.2013 19:43:00 Uhr"
"125","EV",5797,"N15980","EWR","RIC",277,"15.12.2013 13:11:00 Uhr","15.12.2013 13:00:00 Uhr","15.12.2013 14:26:00 Uhr","15.12.2013 14:21:00 Uhr"
"126","AA",1611,"N3CBAA","LGA","MIA",1096,"17.10.2013 18:41:00 Uhr","17.10.2013 18:15:00 Uhr","17.10.2013 21:36:00 Uhr","17.10.2013 21:35:00 Uhr"
"127","WN",490,"N485WN","EWR","MDW",711,"02.05.2013 20:42:00 Uhr","02.05.2013 20:30:00 Uhr","02.05.2013 21:55:00 Uhr","02.05.2013 21:50:00 Uhr"
"128","EV",5806,"N12172","EWR","OMA",1134,"22.08.2013 10:29:00 Uhr","22.08.2013 10:30:00 Uhr","22.08.2013 13:10:00 Uhr","22.08.2013 12:43:00 Uhr"
"129","B6",709,"N627JB","JFK","SJU",1598,"18.02.2013 07:12:00 Uhr","18.02.2013 06:20:00 Uhr","18.02.2013 11:47:00 Uhr","18.02.2013 11:02:00 Uhr"
"130","9E",4027,"N8930E","EWR","CVG",569,"22.01.2013 17:23:00 Uhr","22.01.2013 16:45:00 Uhr","22.01.2013 19:52:00 Uhr","22.01.2013 19:06:00 Uhr"
"131","EV",4532,"N12172","EWR","CHS",628,"18.03.2013 08:06:00 Uhr","18.03.2013 07:51:00 Uhr","18.03.2013 10:07:00 Uhr","18.03.2013 09:59:00 Uhr"
"132","B6",1401,"N283JB","JFK","FLL",1069,"28.09.2013 12:58:00 Uhr","28.09.2013 12:55:00 Uhr","28.09.2013 15:28:00 Uhr","28.09.2013 15:54:00 Uhr"
"133","MQ",3526,"N503MQ","LGA","CMH",479,"18.09.2013 18:09:00 Uhr","18.09.2013 18:10:00 Uhr","18.09.2013 19:42:00 Uhr","18.09.2013 19:55:00 Uhr"
"134","DL",575,"N302DQ","EWR","ATL",746,"21.07.2013 06:28:00 Uhr","21.07.2013 06:30:00 Uhr","21.07.2013 08:38:00 Uhr","21.07.2013 08:45:00 Uhr"
"135","WN",172,"N253WN","LGA","MDW",725,"15.12.2013 12:29:00 Uhr","15.12.2013 11:45:00 Uhr","15.12.2013 13:43:00 Uhr","15.12.2013 13:15:00 Uhr"
"136","B6",327,"N565JB","EWR","MCO",937,"01.12.2013 17:58:00 Uhr","01.12.2013 17:35:00 Uhr","01.12.2013 20:55:00 Uhr","01.12.2013 20:27:00 Uhr"
"137","B6",1289,"N590JB","EWR","SJU",1608,"11.07.2013 07:25:00 Uhr","11.07.2013 07:30:00 Uhr","11.07.2013 11:11:00 Uhr","11.07.2013 11:29:00 Uhr"
"138","DL",2043,"N154DL","JFK","ATL",760,"01.03.2013 14:00:00 Uhr","01.03.2013 13:59:00 Uhr","01.03.2013 16:45:00 Uhr","01.03.2013 16:38:00 Uhr"
"139","B6",225,"N805JB","JFK","TPA",1005,"08.10.2013 19:33:00 Uhr","08.10.2013 19:35:00 Uhr","08.10.2013 22:24:00 Uhr","08.10.2013 22:29:00 Uhr"
"140","US",196,"N542UW","JFK","PHX",2153,"29.07.2013 10:32:00 Uhr","29.07.2013 10:29:00 Uhr","29.07.2013 12:50:00 Uhr","29.07.2013 12:39:00 Uhr"
